suffix	scanner	task	acq	BandwidthPerPixelPhaseEncode	BaseResolution	CoilString	DeviceSerialNumber	DiffusionScheme	DwellTime	EchoTime	EchoTrainLength	EffectiveEchoSpacing	FlipAngle	ImageOrientationPatientDICOM	ImageType	ImagingFrequency	InPlanePhaseEncodingDirectionDICOM	MRAcquisitionType	MagneticFieldStrength	Manufacturer	ManufacturersModelName	PartialFourier	PercentPhaseFOV	PercentSampling	PhaseEncodingDirection	PhaseResolution	PixelBandwidth	PulseSequenceDetails	ReceiveCoilActiveElements	ReceiveCoilName	ReconMatrixPE	RepetitionTime	ScanOptions	ScanningSequence	SequenceVariant	SliceThickness	SliceTiming	SoftwareVersions	SpacingBetweenSlices	TotalReadoutTime	VendorReportedEchoSpacing	phantom	dir	ConsistencyInfo	MultibandAccelerationFactor	PhaseEncodingSteps	RefLinesPE	SequenceName	dcmmeta_affine	dcmmeta_reorient_transform	dcmmeta_shape	dcmmeta_slice_dim	dcmmeta_version	bval	bvec	BitsStored	PhaseEncodingPolarityGE	PartialFourierEnabled	PhaseEncodingAxis	PhaseEncodingStepsNoPartialFourier	WaterFatShift	InversionTime
bold	NS	rest		20.576	90.0		70032		2.2e-06	0.032	90.0	0.000540003	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC']	123.218	COL	2D	3	Siemens	Skyra_fit	1.0	100.0	100.0	j-	1.0	2525.0	%CustomerSeq%\ep2d_bold_sms_abcd	['HC1-6', 'HC3-6', 'HC1-7', 'HC1-7;NC1', 'HC1-7;NC1,2', 'HC1-7;NC2;SP1', 'HC3-7;NC1', 'HEA;HEP', 'HC1,3-7;NC1']	HeadNeck_64	90	0.8	FS	EP	SK	2.4	[0.3475, 0, 0.435, 0.0875, 0.52, 0.175, 0.6075, 0.26, 0.695, 0.3475, 0, 0.435, 0.0875, 0.52, 0.175, 0.6075, 0.26, 0.695, 0.3475, 0, 0.435, 0.0875, 0.52, 0.175, 0.6075, 0.26, 0.695, 0.3475, 0, 0.435, 0.0875, 0.52, 0.175, 0.6075, 0.26, 0.695, 0.3475, 0, 0.435, 0.0875, 0.52, 0.175, 0.6075, 0.26, 0.695, 0.3475, 0, 0.435, 0.0875, 0.52, 0.175, 0.6075, 0.26, 0.695]	syngo MR E11	2.4	0.0480603		False		N4_VE11C_LATEST_20160120	6.0	90.0	8.0	epfid2d1_90	[[-2.4000000953674316, 0.0, 0.0], [0.0, 2.4000000953674316, 0.0], [0.0, 0.0, 2.3999998569488525], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 54, 450]	2.0	0.6			12.0						
bold	SH	cuff		21.786	90.0	HeadNeck_64	66022		2e-06	0.03	90.0	0.000510012	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'FMRI', 'NONE']	123.257	COL	2D	3	Siemens	MAGNETOM Prisma	1.0	100.0	100.0	j-	1.0	2778.0	%SiemensSeq%\ep2d_bold	['HC1-6', 'HC3-6', 'HC1-7', 'HC1-7;NC1', 'HC1-7;NC1,2', 'HC1-7;NC2;SP1', 'HC3-7;NC1', 'HEA;HEP', 'HC1,3-7;NC1']	HeadNeck_64	90	0.8	FS	EP	SK	2.4	[0.5475, 0, 0.39, 0.0775005, 0.4675, 0.235, 0.625, 0.3125, 0.7025, 0.1575, 0.5475, 0, 0.39, 0.0775005, 0.4675, 0.235, 0.625, 0.3125, 0.7025, 0.1575, 0.5475, 0, 0.39, 0.0775005, 0.4675, 0.235, 0.625, 0.3125, 0.7025, 0.1575, 0.5475, 0, 0.39, 0.0775005, 0.4675, 0.235, 0.625, 0.3125, 0.7025, 0.1575, 0.5475, 0, 0.39, 0.0775005, 0.4675, 0.235, 0.625, 0.3125, 0.7025, 0.1575, 0.5475, 0, 0.39, 0.0775005, 0.4675, 0.235, 0.625, 0.3125, 0.7025, 0.1575]	syngo MR XA30	2.4	0.045391	0.00051	False			6.0		22.0															
bold	SH	rest		20.576	90.0		66022		2.2e-06	0.032	90.0	0.000540003	52	[1, 0, 2.423e-12, 0, 1, 3.144e-12]	['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC']	123.257	COL	2D	3	Siemens	Prisma	1.0	100.0	100.0	j	1.0	2525.0	%SiemensSeq%\ep2d_bold	['HC1-6', 'HC3-6', 'HC1-7', 'HC1-7;NC1', 'HC1-7;NC1,2', 'HC1-7;NC2;SP1', 'HC3-7;NC1', 'HEA;HEP', 'HC1,3-7;NC1']	HeadNeck_64	90	0.8	FS	EP	SK	2.4	[0.345, 0, 0.4325, 0.085, 0.52, 0.1725, 0.605, 0.26, 0.6925, 0.345, 0, 0.4325, 0.085, 0.52, 0.1725, 0.605, 0.26, 0.6925, 0.345, 0, 0.4325, 0.085, 0.52, 0.1725, 0.605, 0.26, 0.6925, 0.345, 0, 0.4325, 0.085, 0.52, 0.1725, 0.605, 0.26, 0.6925, 0.345, 0, 0.4325, 0.085, 0.52, 0.1725, 0.605, 0.26, 0.6925, 0.345, 0, 0.4325, 0.085, 0.52, 0.1725, 0.605, 0.26, 0.6925]	syngo MR E11	2.4	0.0480603	0.00054	True		N4_VE11C_LATEST_20160120	6.0	90.0	8.0	*epfid2d1_90	[[-2.4000000953674316, 0.0, 5.815200317810243e-12], [0.0, 2.4000000953674316, 7.545600429204047e-12], [5.815200317810243e-12, -7.545600429204047e-12, 2.4000000953674316], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 54, 450]	2.0	0.6			12.0						
bold	SH	rest		21.786	90.0	HeadNeck_64	66022		2e-06	0.03	90.0	0.000510012	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'FMRI', 'NONE']	123.257	COL	2D	3	Siemens	MAGNETOM Prisma	1.0	100.0	100.0	j-	1.0	2778.0	%SiemensSeq%\ep2d_bold	['HC1-6', 'HC3-6', 'HC1-7', 'HC1-7;NC1', 'HC1-7;NC1,2', 'HC1-7;NC2;SP1', 'HC3-7;NC1', 'HEA;HEP', 'HC1,3-7;NC1']	HeadNeck_64	90	0.8	FS	EP	SK	2.4	[0.5475, 0, 0.39, 0.0775005, 0.4675, 0.235, 0.625, 0.3125, 0.7025, 0.1575, 0.5475, 0, 0.39, 0.0775005, 0.4675, 0.235, 0.625, 0.3125, 0.7025, 0.1575, 0.5475, 0, 0.39, 0.0775005, 0.4675, 0.235, 0.625, 0.3125, 0.7025, 0.1575, 0.5475, 0, 0.39, 0.0775005, 0.4675, 0.235, 0.625, 0.3125, 0.7025, 0.1575, 0.5475, 0, 0.39, 0.0775005, 0.4675, 0.235, 0.625, 0.3125, 0.7025, 0.1575, 0.5475, 0, 0.39, 0.0775005, 0.4675, 0.235, 0.625, 0.3125, 0.7025, 0.1575]	syngo MR XA30	2.4	0.045391	0.00051	False			6.0		22.0															
bold	UC	cuff				MULTI COIL	71399			0.030001	89.0	0.000767273	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'FFE', 'M', 'FFE']	127.767	COL	2D	3	Philips	Ingenia		100.0	101.136	j		1825.0				96	0.8	FS	GR	SK	2.4	[0, 0.444, 0.089, 0.533, 0.178, 0.622, 0.267, 0.711, 0.356, 0, 0.444, 0.089, 0.533, 0.178, 0.622, 0.267, 0.711, 0.356, 0, 0.444, 0.089, 0.533, 0.178, 0.622, 0.267, 0.711, 0.356, 0, 0.444, 0.089, 0.533, 0.178, 0.622, 0.267, 0.711, 0.356, 0, 0.444, 0.089, 0.533, 0.178, 0.622, 0.267, 0.711, 0.356, 0, 0.444, 0.089, 0.533, 0.178, 0.622, 0.267, 0.711, 0.356]	5.6.1\5.6.1.0	2.4	0.072891		False							[[-2.21875, 0.0, 0.0], [0.0, 2.21875, 0.0], [0.0, 0.0, 2.4000015258789062], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 95.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 53.0], [0.0, 0.0, 0.0, 1.0]]	[96, 96, 54, 450]	2.0	0.6			12.0		YES	j	89.0	32.0203	
bold	UC	rest				MULTI COIL	71399			0.03	89.0		52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'FFE', 'M', 'FFE']	127.767	COL	2D	3	Philips	Ingenia		100.0	101.136			1823.0				96	0.8	FS	GR	SK	2.4		5.6.1\5.6.1.0	2.4			True							[[-2.21875, 0.0, 0.0], [0.0, 2.21875, 0.0], [0.0, 0.0, 2.4000015258789062], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 95.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 53.0], [0.0, 0.0, 0.0, 1.0]]	[96, 96, 54, 450]	2.0	0.6			12.0		YES	j	89.0	32.0437	
bold	UC	rest				MULTI COIL	71399			0.030001	89.0	0.000767274	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'FFE', 'M', 'FFE']	127.767	COL	2D	3	Philips	Ingenia		100.0	101.136	j		1825.0				96	0.8	FS	GR	SK	2.4	[0, 0.444, 0.089, 0.533, 0.178, 0.622, 0.267, 0.711, 0.356, 0, 0.444, 0.089, 0.533, 0.178, 0.622, 0.267, 0.711, 0.356, 0, 0.444, 0.089, 0.533, 0.178, 0.622, 0.267, 0.711, 0.356, 0, 0.444, 0.089, 0.533, 0.178, 0.622, 0.267, 0.711, 0.356, 0, 0.444, 0.089, 0.533, 0.178, 0.622, 0.267, 0.711, 0.356, 0, 0.444, 0.089, 0.533, 0.178, 0.622, 0.267, 0.711, 0.356]	5.6.1\5.6.1.0	2.4	0.072891		False							[[-2.21875, 0.0, 0.0], [0.0, 2.21875, 0.0], [0.0, 0.0, 2.4000015258789062], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 95.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 53.0], [0.0, 0.0, 0.0, 1.0]]	[96, 96, 54, 450]	2.0	0.6			12.0		YES	j	89.0	32.0203	
bold	UI	cuff				RM:Nova32ch	000000312996MR3T			0.03		0.000568494	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.779	COL	2D	3	GE	DISCOVERY MR750		100.0	100.0	j		5555.56				90	0.8	SAT_GEMS\EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS\PFF\FS	EP\RM	NONE	2.4	[0.145455, 0.509091, 0.0727273, 0.436364, 0, 0.363636, 0.727273, 0.290909, 0.654545, 0.218182, 0.581818, 0.145455, 0.509091, 0.0727273, 0.436364, 0, 0.363636, 0.727273, 0.290909, 0.654545, 0.218182, 0.581818, 0.145455, 0.509091, 0.0727273, 0.436364, 0, 0.363636, 0.727273, 0.290909, 0.654545, 0.218182, 0.581818, 0.145455, 0.509091, 0.0727273, 0.436364, 0, 0.363636, 0.727273, 0.290909, 0.654545, 0.218182, 0.581818, 0.145455, 0.509091, 0.0727273, 0.436364, 0, 0.363636, 0.727273, 0.290909, 0.654545, 0.218182, 0.581818, 0.145455, 0.509091, 0.0727273, 0.436364, 0]	27\LX\MR Software release:DV26.0_R02_1810.b	2.4	0.050596		False			6.0				[[-2.4000000953674316, 0.0, 0.0], [0.0, 2.4000000953674316, 0.0], [0.0, 0.0, 2.4000000953674316], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 59.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 60, 450]	2.0	0.6			16.0	Flipped					
bold	UI	rest				RM:Nova32ch	000000312996MR3T			0.03		0.000568494	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.779	COL	2D	3	GE	DISCOVERY MR750		100.0	100.0	j		5555.56				90	0.8	SAT_GEMS\EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS\PFF\FS	EP\RM	NONE	2.4	[0.145455, 0.509091, 0.0727273, 0.436364, 0, 0.363636, 0.727273, 0.290909, 0.654545, 0.218182, 0.581818, 0.145455, 0.509091, 0.0727273, 0.436364, 0, 0.363636, 0.727273, 0.290909, 0.654545, 0.218182, 0.581818, 0.145455, 0.509091, 0.0727273, 0.436364, 0, 0.363636, 0.727273, 0.290909, 0.654545, 0.218182, 0.581818, 0.145455, 0.509091, 0.0727273, 0.436364, 0, 0.363636, 0.727273, 0.290909, 0.654545, 0.218182, 0.581818, 0.145455, 0.509091, 0.0727273, 0.436364, 0, 0.363636, 0.727273, 0.290909, 0.654545, 0.218182, 0.581818, 0.145455, 0.509091, 0.0727273, 0.436364, 0]	27\LX\MR Software release:DV26.0_R02_1810.b	2.4	0.050596		False			6.0				[[-2.4000000953674316, 0.0, 0.0], [0.0, 2.4000000953674316, 0.0], [0.0, 0.0, 2.4000000953674316], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 59.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 60, 450]	2.0	0.6			16.0	Flipped					
bold	UI	rest				RM:Nova32ch	000000312996MR3T			0.03		0.000568494	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.779	COL	2D	3	GE	DISCOVERY MR750		100.0	100.0	j		5555.56				90	0.8	SAT_GEMS\EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS\PFF\FS	EP\RM	NONE	2.4	[0.145455, 0.509091, 0.0727273, 0.436364, 0, 0.363636, 0.727273, 0.290909, 0.654545, 0.218182, 0.581818, 0.145455, 0.509091, 0.0727273, 0.436364, 0, 0.363636, 0.727273, 0.290909, 0.654545, 0.218182, 0.581818, 0.145455, 0.509091, 0.0727273, 0.436364, 0, 0.363636, 0.727273, 0.290909, 0.654545, 0.218182, 0.581818, 0.145455, 0.509091, 0.0727273, 0.436364, 0, 0.363636, 0.727273, 0.290909, 0.654545, 0.218182, 0.581818, 0.145455, 0.509091, 0.0727273, 0.436364, 0, 0.363636, 0.727273, 0.290909, 0.654545, 0.218182, 0.581818, 0.145455, 0.509091, 0.0727273, 0.436364, 0]	27\LX\MR Software release:DV26.0_R02_1810.b	2.4	0.050596		True			6.0				[[-2.4000000953674316, 0.0, 0.0], [0.0, 2.4000000953674316, 0.0], [0.0, 0.0, 2.4000000953674316], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 59.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 60, 450]	2.0	0.6			16.0	Flipped					
bold	UM1	cuff				RM:Nova32ch	000000000UM750MR			0.03		0.000580764	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.767	COL	2D	3	GE	DISCOVERY MR750		100.0	100.0	j		5555.56				90	0.8	SAT_GEMS\EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS\PFF\FS	EP\RM	NONE	2.4	[0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64]	29\LX\DV29.1_R02_2131.a	2.4	0.051688		False			6.0				[[-2.4000000953674316, 0.0, 0.0], [0.0, 2.4000000953674316, 0.0], [0.0, 0.0, 2.4000015258789062], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 59.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 60, 450]	2.0	0.6			16.0	Flipped					
bold	UM1	rest				RM:Nova32ch	000000000UM750MR			0.03		0.000580764	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.767	COL	2D	3	GE	DISCOVERY MR750		100.0	100.0	j		5555.56				90	0.8	SAT_GEMS\EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS\PFF\FS	EP\RM	NONE	2.4	[0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64]	29\LX\DV29.1_R02_2131.a	2.4	0.051688		False			6.0				[[-2.4000000953674316, 0.0, 0.0], [0.0, 2.4000000953674316, 0.0], [0.0, 0.0, 2.4000015258789062], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 59.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 60, 450]	2.0	0.6			16.0	Flipped					
bold	UM2	cuff				RM:32NovaHead2	0007347633TMRFIX			0.03		0.000548	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.751	COL	2D	3	GE	SIGNA UHP		100.0	100.0	j		5555.56				90	0.8	SAT_GEMS\EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS\FS	EP\RM	NONE	2.4	[0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64]	28\LX\MR Software release:RX28.0_R04_UHP3T_2111.a	2.4	0.048772		False			6.0				[[-2.4000000953674316, 0.0, 0.0], [0.0, 2.4000000953674316, 0.0], [0.0, 0.0, 2.4000015258789062], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 59.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 60, 450]	2.0	0.6			16.0	Flipped					
bold	UM2	rest	fBIRN			RM:32NovaHead2	0007347633TMRFIX			0.03		0.000452	77	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.749	COL	2D	3	GE	SIGNA UHP		100.0	100.0	j		7812.5				64	2.0	MP_GEMS\EPI_GEMS	EP\RM	NONE	4.0	[0, 1, 0.0666667, 1.06667, 0.133333, 1.13333, 0.2, 1.2, 0.266667, 1.26667, 0.333333, 1.33333, 0.4, 1.4, 0.466667, 1.46667, 0.533333, 1.53333, 0.6, 1.6, 0.666667, 1.66667, 0.733333, 1.73333, 0.8, 1.8, 0.866667, 1.86667, 0.933333, 1.93333]	28\LX\MR Software release:RX28.0_R04_UHP3T_2111.a	5.0	0.028476		True							[[-3.4375, 0.0, 0.0], [0.0, 3.4375, 0.0], [0.0, 0.0, 5.0], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 63.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 29.0], [0.0, 0.0, 0.0, 1.0]]	[64, 64, 30, 200]	2.0	0.6			16.0	Flipped					
bold	UM2	rest	mb			RM:32NovaHead2	0007347633TMRFIX			0.03		0.000548	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.749	COL	2D	3	GE	SIGNA UHP		100.0	100.0	j		5555.56				90	0.8	SAT_GEMS\EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS\FS	EP\RM	NONE	2.4	[0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64]	28\LX\MR Software release:RX28.0_R04_UHP3T_2111.a	2.4	0.048772		True			6.0				[[-2.4000000953674316, 0.0, 0.0], [0.0, 2.4000000953674316, 0.0], [0.0, 0.0, 2.4000000953674316], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 59.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 60, 375]	2.0	0.6			16.0	Flipped					
bold	UM2	rest				RM:32NovaHead2	0007347633TMRFIX			0.03		0.000548	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.751	COL	2D	3	GE	SIGNA UHP		100.0	100.0	j		5555.56				90	0.8	SAT_GEMS\EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS\FS	EP\RM	NONE	2.4	[0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64, 0, 0.4, 0.08, 0.48, 0.16, 0.56, 0.24, 0.72, 0.32, 0.64]	28\LX\MR Software release:RX28.0_R04_UHP3T_2111.a	2.4	0.048772		False			6.0				[[-2.4000000953674316, 0.0, 0.0], [0.0, 2.4000000953674316, 0.0], [0.0, 0.0, 2.4000015258789062], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 59.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 60, 450]	2.0	0.6			16.0	Flipped					
bold	WS	cuff		30.864	90.0	C:HEA;HEP	40292		3.3e-06	0.03		0.000360002	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'MB', 'ND', 'MOSAIC']	123.234	COL	2D	3	Siemens	Verio	1.0	100.0	100.0	j-	1.0	1684.0	%CustomerSeq%\cmrr_mbep2d_bold		32Ch_Head	90	0.8	FS	EP	SK\SS	2.4	[0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56, 0.64, 0.7225, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56, 0.64, 0.7225, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56, 0.64, 0.7225, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56, 0.64, 0.7225, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56, 0.64, 0.7225, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56, 0.64, 0.7225]	syngo MR B17	2.4	0.0320402		False			6.0	90.0	24.0	epfid2d1_90	[[-2.4000000953674316, 0.0, 0.0], [0.0, 2.4000000953674316, 0.0], [0.0, 0.0, 2.4000000953674316], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 60, 450]	2.0	0.6			12.0						
bold	WS	rest		30.864	90.0	C:HEA;HEP	40292		3.3e-06	0.03		0.000360002	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'MB', 'ND', 'NORM', 'MOSAIC']	123.234	COL	2D	3	Siemens	Verio	1.0	100.0	100.0	j-	1.0	1684.0	%CustomerSeq%\cmrr_mbep2d_bold		32Ch_Head	90	0.8	FS	EP	SK\SS	2.4	[0, 0.0825, 0.1625, 0.2425, 0.3225, 0.4025, 0.4825, 0.5625, 0.6425, 0.7225, 0, 0.0825, 0.1625, 0.2425, 0.3225, 0.4025, 0.4825, 0.5625, 0.6425, 0.7225, 0, 0.0825, 0.1625, 0.2425, 0.3225, 0.4025, 0.4825, 0.5625, 0.6425, 0.7225, 0, 0.0825, 0.1625, 0.2425, 0.3225, 0.4025, 0.4825, 0.5625, 0.6425, 0.7225, 0, 0.0825, 0.1625, 0.2425, 0.3225, 0.4025, 0.4825, 0.5625, 0.6425, 0.7225, 0, 0.0825, 0.1625, 0.2425, 0.3225, 0.4025, 0.4825, 0.5625, 0.6425, 0.7225]	syngo MR B17	2.4	0.0320402		True			6.0	90.0	24.0	epfid2d1_90	[[-2.4000000953674316, 0.0, 0.0], [0.0, 2.4000000953674316, 0.0], [0.0, 0.0, 2.4000000953674316], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 60, 450]	2.0	0.6			12.0						
